B,CD4,CD8,DC,Epi,Macro,Mast,Mega,Mono,Neu,NK,Plasma
815,3909,3842,24,0,2,0,16,108,0,44,7
809,4752,4911,0,0,2,0,15,12,0,24,28
273,1213,2203,70,0,0,0,12,1024,0,142,0
378,861,2877,104,0,1,0,13,1589,0,185,0
805,2446,5008,34,0,0,0,7,246,0,577,19
362,1972,2874,51,0,0,0,20,507,0,304,2
412,1446,4273,44,0,0,0,5,304,1,580,9
320,1110,1313,53,0,1,0,21,742,1,107,5
357,1322,1559,65,0,1,0,17,927,0,128,4
438,1217,1114,94,0,5,0,26,2114,6,120,4
338,1160,1332,53,0,0,0,21,627,2,297,2
537,1297,1341,109,0,1,0,24,1531,7,180,8
331,4236,2509,165,0,1,0,46,2432,2,735,20
629,2275,3594,81,0,0,0,32,1260,0,500,22
970,3105,3593,122,0,1,0,27,2132,0,797,25
647,1597,2800,100,0,0,0,32,1602,2,182,12
508,3170,4059,148,0,0,0,69,1864,2,224,23
1866,61,256,10,0,0,0,10,188,0,58,81
97,883,1977,30,0,0,0,14,689,1,99,1
2681,3,78,1,0,0,0,6,76,0,21,9
30,448,1764,9,0,0,0,3,122,0,59,1
3204,1,4,0,0,0,0,6,10,0,3,21
92,751,3031,3,0,0,0,11,106,0,4,2
457,958,2671,66,0,0,0,53,783,1,973,4
192,700,1566,97,0,3,0,63,1583,11,628,17
140,581,2558,46,0,0,0,94,620,1,648,1
568,1344,1721,89,0,0,0,57,1027,3,391,28
442,1073,1054,58,0,8,0,35,838,7,547,0
464,2,377,54,0,0,0,4,76,0,1660,5
35,4,0,15,176,96,0,0,569,142,0,0
4,3,1,4,59,33,0,0,409,73,0,0
28,3,6,9,171,84,0,0,285,98,0,0
8,0,0,8,374,0,0,0,31,3,0,0
4,0,0,4,406,0,0,0,34,2,0,0
6784,0,0,0,0,0,0,6,0,0,0,1
11281,0,1,0,0,0,0,4,0,0,0,1
8201,0,2,0,0,0,0,1,0,0,0,2
6857,0,0,0,0,0,0,0,1,0,0,1
9219,1,1,1,0,0,0,1,0,0,1,1
6852,0,2,0,0,0,0,0,0,0,0,1
446,1939,2310,238,0,4,0,30,2019,10,357,11
228,758,3033,46,0,4,0,10,1155,3,152,2
6206,0,1,0,0,0,0,0,0,0,0,1
7165,1,0,1,0,0,0,1,0,0,1,0
6329,0,5,2,0,0,0,2,1,0,0,1
3559,6,7,4,0,0,0,1,6,0,0,1
5833,1,3,2,0,0,0,0,1,0,1,0
2611,0,5,4,0,0,0,1,0,0,0,0
6114,0,1,4,0,0,0,0,5,0,3,1
7741,2,2,4,0,0,0,0,16,0,0,1
1117,1407,2734,232,0,4,0,19,1527,3,527,23
156,349,498,6,0,0,0,6,330,0,84,1
3642,0,3,3,0,0,0,0,2,0,4,1
3634,2,3,1,0,0,0,0,2,0,1,0
3770,0,1,1,0,0,0,0,2,0,2,0
4141,3,0,2,0,0,0,0,4,0,0,0
5708,41,64,3,0,0,0,1,35,0,6,2
4970,36,59,1,0,0,0,3,37,0,5,0
2812,23,32,0,0,0,0,0,26,0,0,0
5766,2,3,0,0,0,0,3,1,0,0,0
5911,0,2,0,0,0,0,1,0,0,0,1
5795,2,5,0,0,0,0,0,3,0,0,0
531,2448,3035,155,0,2,0,10,1490,4,229,2
522,2525,1865,115,0,6,0,27,1551,6,142,6
557,882,874,5,0,0,0,6,39,0,168,2
2320,3113,3128,26,0,31,0,27,185,4,37,106
2916,3322,2681,2,0,0,0,4,10,0,24,3
1724,2963,2386,1,0,2,0,10,19,0,5,2
269,1184,1274,105,0,1,0,6,4492,1,137,101
983,1805,1396,60,0,1,0,17,2023,1,95,18
199,912,714,75,0,6,0,7,5214,3,201,61
581,2166,1912,193,0,0,0,9,2370,4,494,19
256,1212,1893,130,0,3,0,11,3142,2,673,32
512,1111,2507,72,0,2,0,11,2140,0,154,1
422,984,1715,115,0,32,0,5,2721,1,619,10
780,1208,877,46,0,3,0,32,2456,0,161,18
456,199,2071,23,0,0,0,1,255,0,364,35
180,895,2414,2,0,0,0,4,48,0,377,4
206,1008,1884,1,0,0,0,16,97,0,223,24
137,115,2125,7,0,1,0,6,211,0,426,2
576,1577,856,66,0,2,0,8,1298,0,106,23
200,949,967,26,0,1,0,4,499,0,150,17
373,780,1773,21,0,1,0,2,323,0,301,3
1275,3206,3038,152,0,0,0,25,756,0,586,11
533,3595,3575,44,0,0,0,32,333,0,370,18
7387,4,8,0,0,0,0,24,13,0,5,54
688,2188,2595,135,0,73,0,18,1180,1,960,20
11186,8,36,0,0,0,0,19,213,0,4,323
190,3872,7048,39,0,0,0,7,140,0,888,26
191,4302,2786,66,0,2,0,16,1202,2,110,14
3604,6,9,0,0,1,0,8,86,2,0,54
928,1939,4773,232,0,1,0,26,3234,0,817,48
14976,17,35,2,0,0,0,13,64,0,13,844
1390,2701,3371,65,0,0,0,12,632,2,574,4
911,1326,4501,64,0,0,0,22,833,3,744,4
676,1004,1994,401,0,1,0,14,6624,3,493,4
13727,8,4,3,0,0,0,4,44,0,7,47
878,1249,4619,190,0,0,0,42,6343,3,1220,21
12619,6,54,1,0,0,0,7,119,0,14,140
435,1111,2071,69,0,100,0,30,699,6,194,28
632,1085,2499,95,0,1,0,34,620,0,286,1
377,1378,1425,76,0,3,0,24,898,6,363,19
759,2190,1814,110,0,2,0,65,1113,12,353,18
248,619,2056,176,0,9,0,8,2637,0,236,4
617,1506,2893,39,0,5,0,5,1136,3,143,9
800,1402,2214,57,0,6,0,29,1102,4,65,21
467,1323,2165,92,0,433,0,9,1067,3,83,43
537,1140,1663,112,0,6,0,17,1684,1,241,6
250,799,1767,46,0,2,0,84,1130,4,150,3
191,421,2422,8,0,0,0,10,139,0,962,19
411,1375,1751,33,0,2,0,24,1552,2,428,115
359,820,1809,51,0,6,0,97,1549,6,83,10
458,386,904,104,0,6,0,24,1516,8,413,2
444,521,1501,174,0,0,0,6,2032,1,355,62
507,689,2291,96,0,0,0,19,1123,1,244,17
354,1090,916,135,0,2,0,12,3310,4,310,54
375,1281,2285,171,0,1,0,14,1957,4,148,25
350,546,1325,119,0,2,0,3,1254,0,471,47
435,347,176,9,0,0,0,0,53,0,3,1
188,102,51,3,0,0,0,0,3,0,3,6
3165,15,10,1,0,0,0,0,30,0,26,76
26,1248,420,30,0,0,0,1,130,0,26,0
3574,3,6,0,0,0,0,5,15,0,0,26
140,1893,1485,19,0,0,0,7,425,1,34,2
1939,6,28,0,0,0,0,0,28,0,6,32
