Meso,Epi,Mast,Club,SMC,Macro,B,Den,Stroma,Macro (alv),NK,T (CD4+),T (CD8+),Pericyte,Myeloid,Neutrophil,Den (plas),Plasma,T (reg),Mono,Mono (non),Den (conv),Malignant,Pneu (type II),Pneu (type I),Endo (ves),Endo (capi),Den (CD1c+),Endo (vein),Fibro,Epi (ciliated),Endo (artery),Fibro (bron)
1,21,0,1,1,167,31,0,0,467,48,10,20,0,6,0,0,5,3,631,13,0,10,40,2,48,5,20,14,12,14,1,0
0,3,2,0,0,177,17,0,0,205,9,12,8,0,2,0,0,0,4,91,3,1,0,0,1,0,1,4,1,0,17,0,0
0,20,10,5,2,589,116,12,1,897,71,70,127,1,44,0,30,10,14,662,44,17,3,1,7,39,26,97,11,25,26,4,0
0,2,0,0,0,91,29,1,0,152,8,13,5,0,3,1,0,0,0,281,0,1,1,0,1,4,0,2,5,1,8,1,0
4,26,15,1,10,45,78,3,0,182,215,436,949,4,7,0,7,15,29,367,84,15,1,88,56,24,81,60,35,50,11,27,2
5,80,22,2,0,127,118,13,0,998,158,257,389,0,9,0,11,75,62,466,92,15,3,13,19,24,17,76,20,38,88,8,3
1,6,1,0,0,148,19,7,0,379,12,5,7,0,6,0,0,1,2,657,1,1,5,2,0,22,1,20,5,9,24,1,0
0,1,1,0,1,63,1,4,0,40,4,0,0,0,0,0,1,0,0,586,6,0,1,2,1,2,5,6,3,0,2,0,0
0,1,1,0,0,44,2,1,0,157,4,3,6,0,0,0,0,2,0,88,13,0,0,1,3,6,4,13,8,5,2,0,0
0,0,0,0,0,1231,14,1,0,2161,64,3,13,0,32,0,0,0,0,302,8,0,0,1,0,0,0,26,0,0,0,0,0
6,58,4,17,6,562,192,9,0,2992,546,143,743,1,80,0,0,6,67,777,15,15,16,11,62,149,108,171,49,159,172,21,0
0,161,10,10,0,2340,48,12,0,1197,95,98,237,0,105,1,2,11,23,822,27,12,12,112,1205,21,1,133,18,0,76,15,0
0,58,1,5,1,634,7,10,0,764,44,42,112,0,24,0,2,1,6,1042,8,2,31,45,47,150,3,123,101,143,134,32,0
0,4,0,0,0,61,26,1,0,237,100,14,38,0,2,0,0,2,1,347,0,1,0,1,1,6,2,13,3,10,6,0,0
0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,5,0,2,14,1,2,1,0,3,0
17,69,48,5,12,321,34,16,0,1671,343,339,207,0,37,0,19,29,46,332,82,29,3,38,84,70,16,144,42,80,9,39,6
8,20,8,4,2,150,16,16,0,1629,105,49,21,0,16,0,2,5,9,279,8,14,12,2,3,55,7,49,23,31,39,8,2
0,46,14,2,3,1034,6,1,0,1845,84,31,85,2,12,0,0,8,9,334,16,4,2,9,14,16,19,55,12,41,52,8,1
16,59,15,3,0,166,75,8,0,4759,159,87,315,0,40,0,22,18,10,385,62,29,23,25,23,6,14,76,9,6,71,5,0
7,27,34,9,2,312,104,34,1,889,627,492,612,0,12,0,17,11,146,933,397,46,23,12,28,25,16,358,20,26,101,20,0
11,0,13,0,0,236,20,6,0,1433,163,146,252,0,36,0,2,7,24,280,39,12,1,3,1,23,4,32,7,13,41,9,0
0,51,36,3,2,749,32,0,0,429,141,47,43,0,6,1,1,1,5,1152,0,2,27,23,8,122,4,30,29,87,62,8,3
11,44,16,10,0,208,187,31,0,1906,288,664,943,0,24,1,7,16,68,291,86,42,12,34,2,6,0,154,2,6,83,0,1
21,94,50,7,0,122,109,24,0,1242,1150,543,720,0,17,0,34,3,56,577,600,16,6,35,19,23,4,153,7,6,167,0,0
0,7,4,5,0,167,103,30,0,612,216,208,235,0,13,0,25,1,45,290,76,47,7,13,3,0,0,178,1,2,79,0,0
26,53,10,4,8,121,343,7,0,408,240,98,190,0,7,0,15,50,16,603,37,11,8,7,21,6,11,52,30,70,25,10,0
0,1,2,0,0,476,31,10,0,406,13,27,14,0,3,1,0,0,3,440,5,0,0,3,2,18,9,41,3,5,43,1,0
6,60,7,6,6,29,80,0,0,189,298,137,259,1,2,4,2,1,3,742,70,3,7,14,17,13,18,62,17,10,71,8,0
0,43,8,5,0,695,58,17,3,308,197,154,96,0,9,10,1,5,24,1820,13,1,43,3,13,19,0,40,9,25,96,1,3
0,47,37,8,16,991,91,26,0,2299,502,470,606,2,13,0,1,13,60,2094,31,31,6,73,90,43,85,115,60,107,51,31,1
0,82,4,4,0,1708,145,15,0,698,119,256,238,0,23,1,11,2,27,4273,9,15,18,5,30,4,0,201,9,25,100,1,0
6,194,107,9,9,96,201,10,2,1429,177,77,209,2,14,0,17,68,18,333,11,20,19,2,26,29,2,74,28,64,57,6,7
10,68,198,1,8,106,459,21,1,177,133,28,87,1,6,0,15,42,16,912,77,22,8,30,14,26,15,111,59,38,42,4,1
1,32,65,0,2,203,90,11,0,567,33,117,101,0,19,0,3,10,13,148,29,24,3,7,14,6,6,78,3,34,14,3,4
2,4,7,3,2,165,57,2,0,782,57,112,57,3,11,0,2,8,9,220,22,5,4,16,1,4,13,33,16,18,7,5,2
0,0,0,0,1,0,12,0,0,8,3,3,6,1,0,1,0,0,0,14,0,0,0,56,0,1,5,5,6,2,17,0,0
0,1,3,0,2,96,5,5,0,86,31,9,39,0,7,0,0,0,2,347,25,9,3,2,3,15,17,25,17,20,4,8,0
0,92,5,1,8,154,7,1,0,1163,60,19,59,1,4,0,0,2,6,709,8,1,4,7,1,68,106,14,91,18,14,8,2
13,10,3,4,4,102,29,4,0,898,36,36,19,0,1,0,0,17,2,451,0,2,3,10,2,18,2,17,46,16,33,11,0
0,177,0,0,1,54,0,0,0,603,2,0,0,0,0,0,0,2,0,118,2,0,3,5,5,15,0,11,9,3,17,2,0
0,29,5,2,1,282,40,9,0,2010,282,550,363,0,10,0,0,14,102,1187,101,4,2,8,2,22,11,49,27,20,53,3,3
